,No,IP,EA,BG,smiles
38,C8125,5.920896,2.315571,3.605325,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2C#N)c2c(cc1)c1c(cc2)c2c(cccc2)cc1
39,C7111,5.7347796,2.5261764,3.2086032,c1cc2c(cc1)cc1c(ccc3c1ccc1c3ccc3cc4ccc(cc4cc13)C#N)c2
40,C7147,5.6392725,2.6567844000000003,2.9824881,c1cc2cc3c4ccccc4c4c5cc6c(cccc6)cc5c(cc4c3cc2cc1)C#N
41,C792,5.4289392,2.9082048,2.5207344000000003,c1cc2c(cc1)c(c1cc3c(ccc4c3c3ccccc3c3c4cccc3)cc1c2)C#N
42,C8143,5.2613256,2.9569107000000003,2.3044149000000003,c1cc2cc3cc4c(cc3cc2cc1)c1c(c2cc3cc5c(cccc5)cc3cc2cc1cc4)C#N
43,C835,4.9274589,3.104661,1.8227979000000003,c1cc2c(cc1)cc1cc3cc4cc5c(ccc6c5ccc5c6ccc(c5)C#N)cc4cc3cc1c2
44,C875,5.396559300000001,2.6401863000000003,2.756373,c1(cc2cc3c(cc2cc1)c1cc2c(cc1cc3)c1cc3cc4c(cccc4)cc3cc1cc2)C#N
45,C8105,5.6917878,2.4034593,3.2883285,c1cc2c(cc1)c1c(cc3cc4c(cc3c1)c1c(cccc1)c1c4cccc1)c1cccc(c21)C#N
46,C71.15,5.0607879,3.2404389,1.820349,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc1c(c2C#N)cccc1
47,C7167,5.8939581,2.4554304,3.4385276999999994,c1cc2c(cc1)c1cc3c(cc1cc2)c1cc2c(cc1c(c3)C#N)c1c(cccc1)cc2
48,C7102,5.6074368,2.5814127,3.0260241000000008,c1cc2cc3c(c(c2cc1)C#N)c1cc2c(cc1cc3)c1cc3c(cccc3)cc1cc2
49,C7113,5.7127395000000005,2.4361113,3.2766282,c1cc2c(cc1)cc1c(ccc3c1cc(c1c3ccc3cc4ccccc4cc13)C#N)c2
50,C766,5.4776451,2.5678077,2.9098374,c1cc2c(cc1)cc1cc3c(ccc4c3cc3ccc5c(cccc5)c3c4C#N)cc1c2
51,C843,5.066502,2.9384079,2.1280941,c1cc2c(c3c(cc2cc1)c1c(cc3)c2cc3cc4cc5ccccc5cc4cc3cc2cc1)C#N
52,C7133,5.686617900000001,2.6793687,3.0072492000000004,c1cc2c(cc1)cc1c(ccc3c1ccc1c3cc3c(ccc4ccccc34)c1)c2C#N
53,C783,5.5007736000000005,2.5411419,2.9596317,c1cc2cc3c(c(c2cc1)C#N)c1cc2cc4c(ccc5ccccc45)cc2cc1cc3
54,C851,5.169355800000001,3.0910560000000005,2.0782998000000004,c1cc2c(cc1C#N)cc1cc3cc4c(ccc5c4c4cc6ccccc6cc4cc5)cc3cc1c2
55,C827,4.9601109,3.0292893,1.9308216,c1cc2cc3c(cc2cc1)cc1cc2cc4c(c(cc5c4cc4ccccc4c5)C#N)cc2cc1c3
56,C864,5.2354761000000005,2.9884743,2.2470018,c1ccc2cc3cc4c(c(cc5c4c4cc6cc7ccccc7cc6cc4cc5)C#N)cc3cc2c1
57,C7148,5.5652613,2.5857663,2.979495,c1cc2cc3c4ccccc4c4c5cc6c(cccc6)cc5cc(c4c3cc2cc1)C#N
58,C81.4,4.788959999999999,3.2260176,1.5629423999999998,c12c(cc3c(c1)c1c(cc3)c(ccc1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2
59,C772,5.5225416,2.8907904,2.6317512,c1cc2c(cc1)c(c1cc3c(ccc4c3ccc3c4c4c(cccc4)cc3)cc1c2)C#N
60,C8121,5.876271600000001,2.2010169000000004,3.675254700000001,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(ccc(c2)C#N)cc1
