,No,IP,EA,BG,smiles
40,2N55_1,6.521148600000001,3.0989469,3.4222017,c1c(N(=O)=O)c2c(cc1)c1cc3c(cc(N(=O)=O)c4ccccc34)cc1cc2
41,2N55_10,6.5078157,3.1013958,3.4064199,c1cc2c(cc1N(=O)=O)c1cc3c(ccc4ccc(N(=O)=O)cc34)cc1cc2
42,2N55_11,6.4528515,2.9952768,3.4575747000000003,c1cc2c(cc1)c1cc3c(cc(N(=O)=O)c4c(N(=O)=O)cccc34)cc1cc2
43,2N55_12,6.3878196,3.2823423000000003,3.1054773,c1(N(=O)=O)cc2c(cc1N(=O)=O)c1cc3c(ccc4ccccc34)cc1cc2
44,2N55_2,6.5510796,3.202617,3.3484626000000004,c1cc2c(cc1)c1cc3c(ccc4cc(N(=O)=O)ccc34)c(N(=O)=O)c1cc2
45,2N55_3,6.5162508,3.2075148,3.308736,c1cc2c(cc1N(=O)=O)c1cc3c(ccc4ccccc34)c(N(=O)=O)c1cc2
46,2N55_4,6.5214207,3.1710534000000004,3.3503673,c1cc2c(cc1)c1cc3c(ccc4ccc(N(=O)=O)cc34)cc1c(N(=O)=O)c2
47,2N55_5,6.3872754,3.3065592,3.0807162000000003,c1c(N(=O)=O)c2c(cc1)c1cc3c(ccc4ccccc34)cc1c(N(=O)=O)c2
48,2N55_6,6.554889,3.2110521000000003,3.3438369,c1(N(=O)=O)cc2c(cc1)c1cc3c(ccc4cc(N(=O)=O)ccc34)cc1cc2
49,2N55_7,6.4626471,3.2918658,3.1707813,c1cc2c(cc1)c1cc3c(c(N(=O)=O)cc4cc(N(=O)=O)ccc34)cc1cc2
50,2N55_8,6.47598,3.1332315,3.3427485,c1cc2c(cc1N(=O)=O)c1cc3c(ccc4c(N(=O)=O)cccc34)cc1cc2
51,2N61_1,5.2711212000000005,3.7076346,1.5634866000000005,c1c(N(=O)=O)c2cc3cc4cc5cc6c(cccc6)cc5cc4cc3c(N(=O)=O)c2cc1
52,2N61_10,5.267583900000001,3.6502215,1.6173624000000006,c1cc2cc3cc4cc5cc6c(c(N(=O)=O)ccc6)c(N(=O)=O)c5cc4cc3cc2cc1
53,2N61_11,5.4305718,3.7239606,1.7066112,c1cc2c(N(=O)=O)c3cc4cc5cc6c(cc(N(=O)=O)cc6)cc5cc4cc3cc2cc1
54,2N61_2,5.303229,3.634167600000001,1.6690613999999997,c1c(N(=O)=O)c2cc3cc4cc5cc6c(c(N(=O)=O)ccc6)cc5cc4cc3cc2cc1
55,2N61_3,5.4300276,3.7274979,1.7025296999999997,c1(N(=O)=O)cc2cc3cc4cc5c(N(=O)=O)c6c(cccc6)cc5cc4cc3cc2cc1
56,2N61_4,5.3483976,3.6722616,1.6761360000000003,c1c(N(=O)=O)c2cc3cc4cc5cc6c(cccc6)c(N(=O)=O)c5cc4cc3cc2cc1
57,2N61_5,5.3843148,3.7465449,1.6377699,c1cc2cc3c(N(=O)=O)c4cc5cc6c(cccc6)cc5cc4c(N(=O)=O)c3cc2cc1
58,2N61_6,5.3707098,3.7321236,1.6385862,c1cc2cc3cc4cc5c(N(=O)=O)c6c(cccc6)cc5c(N(=O)=O)c4cc3cc2cc1
59,2N61_7,5.385403200000001,3.665187,1.7202162000000008,c1cc2cc3cc4cc5cc6c(cccc6)cc5c(N(=O)=O)c4cc3c(N(=O)=O)c2cc1
60,2N61_8,5.3500302,3.8123931,1.537637099999999,c1cc2cc3cc4cc5cc6c(cc(N(=O)=O)cc6N(=O)=O)cc5cc4cc3cc2cc1
61,2N61_9,5.3391462,3.6401538,1.6989923999999998,c1cc2cc3cc4cc5c(N(=O)=O)c6c(cccc6)cc5cc4cc3cc2c(N(=O)=O)c1
62,2N62_1,5.639816700000001,3.4194807000000003,2.220336,c1cc2c(cc1)cc1c(N(=O)=O)c3cc4c(ccc5c4cc(N(=O)=O)cc5)cc3cc1c2
63,2N62_10,5.4844476,3.5792034,1.9052442,c1cc2c(cc1)cc1cc3cc4c(c(N(=O)=O)cc5c4cc(N(=O)=O)cc5)cc3cc1c2
64,2N62_11,5.7543708,3.5519934,2.2023774000000005,c1(N(=O)=O)cc2c(cc1)cc1cc3cc4c(ccc5c4cccc5)c(N(=O)=O)c3cc1c2
65,2N62_12,5.7350517000000005,3.5193414000000005,2.2157103,c1(N(=O)=O)cc2c(cc1N(=O)=O)cc1cc3cc4c(ccc5c4cccc5)cc3cc1c2
66,2N62_2,5.630565300000001,3.5955294,2.0350359,c1(N(=O)=O)c(N(=O)=O)c2c(cc1)cc1cc3cc4c(ccc5c4cccc5)cc3cc1c2
67,2N62_3,5.5886619,3.4045152000000005,2.1841466999999994,c1c(N(=O)=O)c2c(cc1)cc1cc3cc4c(c(N(=O)=O)cc5c4cccc5)cc3cc1c2
68,2N62_4,5.5067598,3.3977127,2.1090471,c1cc2c(cc1)cc1cc3cc4c(ccc5c4ccc(N(=O)=O)c5N(=O)=O)cc3cc1c2
69,2N62_5,5.4708426,3.3645165,2.1063261,c1cc2c(cc1)cc1cc3cc4c(c(N(=O)=O)cc5c4cccc5N(=O)=O)cc3cc1c2
70,2N62_6,5.755459200000001,3.5487282,2.206731,c1cc2c(cc1N(=O)=O)cc1cc3cc4c(ccc5c4cccc5)c(N(=O)=O)c3cc1c2
71,2N62_7,5.664033600000001,3.455942100000001,2.2080915,c1c(N(=O)=O)c2c(cc1)cc1cc3cc4c(ccc5c4cccc5)c(N(=O)=O)c3cc1c2
72,2N62_8,5.6509728,3.4904988,2.160474,c1c(N(=O)=O)c2c(cc1)cc1cc3cc4c(ccc5c4ccc(N(=O)=O)c5)cc3cc1c2
73,2N62_9,5.6784549,3.4836963,2.1947586,c1(N(=O)=O)cc2c(cc1)cc1cc3cc4c(c(N(=O)=O)cc5c4cccc5)cc3cc1c2
74,2N72_1,5.376151800000001,3.6140322,1.7621196000000003,c1cc2c(cc1)cc1cc3c(N(=O)=O)c4cc5c(ccc6c5cccc6)c(N(=O)=O)c4cc3cc1c2
75,2N72_10,5.4226809000000005,3.6523983,1.7702826000000005,c1cc2c(cc1)cc1cc3c(N(=O)=O)c4cc5c(cc(N(=O)=O)c6c5cccc6)cc4cc3cc1c2
76,2N72_11,5.3962872,3.5764824,1.8198048,c1(N(=O)=O)cc2c(cc1)cc1cc3cc4cc5c(ccc6c5cccc6N(=O)=O)cc4cc3cc1c2
77,2N72_12,5.3655399,3.5411094000000003,1.8244305,c1cc2c(cc1)cc1c(N(=O)=O)c3cc4cc5c(c(N(=O)=O)cc6c5cccc6)cc4cc3cc1c2
78,2N72_2,5.3459487,3.6785199,1.6674288000000002,c1(N(=O)=O)c(N(=O)=O)c2c(cc1)cc1cc3cc4cc5c(ccc6c5cccc6)cc4cc3cc1c2
79,2N72_3,5.3590095,3.5691357000000004,1.7898737999999994,c1c(N(=O)=O)c2c(cc1)cc1cc3cc4cc5c(ccc6c5ccc(N(=O)=O)c6)cc4cc3cc1c2
80,2N72_4,5.4708426,3.6545751000000006,1.8162674999999997,c1cc2c(cc1)cc1cc3cc4cc5c(ccc6c5cccc6)cc4c(N(=O)=O)c3c(N(=O)=O)c1c2
81,2N72_5,5.4444489,3.6423306,1.8021183,c1(N(=O)=O)cc2c(cc1N(=O)=O)cc1cc3cc4cc5c(ccc6c5cccc6)cc4cc3cc1c2
82,2N72_6,5.3772402,3.5411094000000003,1.8361308,c1cc2c(cc1)cc1c(N(=O)=O)c3cc4cc5c(ccc6c5cccc6N(=O)=O)cc4cc3cc1c2
83,2N72_7,5.3045895000000005,3.4970292,1.8075603000000005,c1c(N(=O)=O)c2c(cc1)cc1cc3cc4cc5c(ccc6c5cccc6N(=O)=O)cc4cc3cc1c2
84,2N72_8,5.341323,3.5421978,1.7991252000000004,c1cc2c(cc1)cc1cc3c(N(=O)=O)c4cc5c(ccc6c5cc(N(=O)=O)cc6)cc4cc3cc1c2
85,2N72_9,5.253978900000001,3.5386605,1.7153184000000004,c1cc2c(cc1)cc1cc3cc4cc5c(c(N(=O)=O)cc6c5ccc(N(=O)=O)c6)cc4cc3cc1c2
86,2N73_1,5.425401900000001,3.3571698000000003,2.0682321000000004,c1(N(=O)=O)c(N(=O)=O)c2cc3c(cc2cc1)c1cc2cc4cc5ccccc5cc4cc2cc1cc3
87,2N73_10,5.5960086,3.7253211,1.8706875000000005,c1cc2cc3c(cc2cc1)c1cc2cc4cc5c(N(=O)=O)ccc(N(=O)=O)c5cc4cc2cc1cc3
88,2N73_11,5.6621289,3.5574354,2.1046935,c1cc2cc3c(cc2cc1)c1cc2cc4cc5c(N(=O)=O)cccc5c(N(=O)=O)c4cc2cc1cc3
89,2N73_12,5.6558706,3.5563470000000006,2.0995235999999995,c1cc2cc3c(cc2cc1)c1cc2cc4c(N(=O)=O)c5cccc(N(=O)=O)c5cc4cc2cc1cc3
90,2N73_2,5.6038995,3.3710469,2.2328526,c1cc2cc3c(cc2cc1N(=O)=O)c1cc2cc4cc5cccc(N(=O)=O)c5cc4cc2cc1cc3
